Row,V1_MaxPulse_Voltage_V,Number_of_Pulses,Applied_energy_J,Average_Power_P,Pth_Vth_times_Ith,Ith_Trigger_Current,Vth_TriggerVoltage,N_scale,ton,toff,T_total_period,n_P_over_Pth,Rb_Resistance_Before
mean,114.197777777778,34.3555555555556,0.0145639687003778,0.0332356816444444,0.00234095733333333,3.62822222222222e-05,36.4108365078667,101.777777777778,0.0762680711111111,0.00888888888888889,3.43634584888889,3451.86813035864,10194511.1111111
std,53.2539614036061,61.4340576093052,0.0337276087247431,0.0918384947566717,0.00534852291945016,5.65154656584006e-05,55.0584267638549,210.273511158561,0.09739307961214,0.0121022579077066,7.05382469471086,7522.21044267608,14731789.0147035
