rowid,Chip and Device,V1_MaxPulse_Voltage_V,Number_of_Pulses,Applied_energy_J,Average_Power_P,Pth_Vth_times_Ith,Ith_Trigger_Current,Vth_TriggerVoltage,N_scale,ton,toff,T_total_period,n_P_over_Pth,Rb_Resistance_Before,Ra_minus_Rb_over_Rb_percent,Ra_minus_Rb,Pulse file,Rbefore file name,Rafter,R Em file name,Ycat,Prediction,c,source,NI
46,C16_D32,90.0,145.0,0.004849017810696326,0.0003344150214273328,2.42214e-07,1e-07,2.42214,37.15722460303698,0.1,0.025,18.125,1380.6593402005367,30251385.313185923,227.32820267235545,,,,,,,,,new,
47,C15_0619,80.0,101.0,0.00036074306799999996,3.571713544554455e-05,1.31512e-07,1e-07,1.31512,60.83095078776081,0.1,0.025,12.625,271.5884135709635,12386543.396203406,1205.566338341945,,,,,,,,,new,0.00214637349275934
48,C15_0619,70.0,89.0,0.008390038804000001,0.0009427009892134831,2.00766e-08,1e-07,0.200766,348.664614526364,0.1,0.025,11.125,46955.21100253445,2001963.2302671438,1457.7516377672,,,,,,,,,new,
49,C15_D32_0619_2,70.0,408.0,0.03846220035991011,0.0009427009892134831,3.4512e-07,1e-07,3.4512,20.282800185442746,0.1,0.025,51.0,2731.5165426908993,31185615.006983574,119.13220056580882,,,,,,,,,new,0.004902999262222
