Chip and Device,V1_MaxPulse_Voltage_V,Number_of_Pulses,Applied_energy_J,Average_Power_P,Pth_Vth_times_Ith,Ith_Trigger_Current,Vth_TriggerVoltage,N_scale,ton,toff,T_total_period,n_P_over_Pth,Rb_Resistance_Before,Ra_minus_Rb_over_Rb_percent,Ra_minus_Rb,Pulse file,Rbefore file name,Rafter,R Em file name,Ycat,Prediction,c,source,NI
D23_zA216,95.575,1.0,2.04e-05,0.00659,1.91e-05,2e-06,9.5575,10.0,0.0031,0.0,0.0031,344.86,5960000.0,-10.4,-560000.0,zA0216_D23_0116_NOISE_2e-6.csv_1,,zA0216_D23_0116_NOISE_2e-6.csv_2,zA0216_D23_0116_NOISE_2e-6_IVafter.csv_1,6.0,6.0,0.0,training,
D23_zA216,114.645,1.0,3.23e-05,0.0104,1.72e-05,3e-06,5.73225,20.0,0.00311,0.0,0.00311,604.01,5650000.0,-4.63,-250000.0,zA0216_D23_0116_NOISE_3e-6.csv_1,,zA0216_D23_0116_NOISE_3e-6.csv_2,zA0216_D23_0116_NOISE_3e-6_IV.csv_1,5.0,5.0,0.0,training,
D23_zA216,200.0,1.0,0.000393,0.0662,9.33e-05,1.4e-05,6.666666667,30.0,0.00594,0.0,0.00594,708.95,4480000.0,43.5,3450000.0,zA0216_D23_0116_NOISE_14e-6.csv_1,,,zA0216_D23_0116_EM_14e-6_IV.csv_1,2.0,2.0,0.0,training,
D23_zA216,200.0,1.0,0.000857,0.0131,0.000136,3.4e-05,4.0,50.0,0.0652,0.0,0.0652,96.6,11700000.0,77.9,41200000.0,zA0216_D23_0122_NOISE1.csv_1,zA0216_D23_0122_NOISE_IV.csv_1,zA0216_D23_0122_NOISE1.csv_2,zA0216_D23_0122_NOISE1_IV.csv_1,2.0,2.0,0.0,training,
D23_zA216,200.0,1.0,0.00086,0.0343,0.00012,2.4e-05,5.0,40.0,0.0251,0.0,0.0251,285.51,7200000.0,25.4,2450000.0,zA0216_D23_0116_NOISE_24e-6.csv_1,,zA0216_D23_0116_NOISE_24e-6_IV.csv_1,,3.0,3.0,0.0,training,
D23_zA220,100.0,1.0,0.000969,0.0124,0.0015,0.00015,10.0,10.0,0.0782,0.0,0.0782,8.26,2060000.0,-49.3,-680000.0,zA0220_D23_0306_150e-6_10.csv_1,zA0220_D23_0306_200e-6_10.csv_1,zA0220_D23_0306_200e-6_10.csv_1,,7.0,7.0,0.0,training,
D23_zA220,100.0,1.0,0.00163,0.0124,3e-05,0.0003,0.1,1000.0,0.131,0.0,0.131,412.9,1100000.0,-37.3,-299000.0,zA0220_D23_0306_300e-6_1000_IV.csv_1,zA0220_D23_0306_250e-6_100_IV.csv_1,zA0220_D23_0306_300e-6_1000_IV.csv_2,,7.0,7.0,0.0,training,
D33_zA221,100.0,1.0,4.17e-10,0.000416674,0.000792,6e-06,132.0,100.0,0.1,0.025,0.125,0.526103157,54300000.0,1000.0,45.7,zA0221_D33__6E-6_100_0305_IV.csv_1,,,,1.0,1.0,0.0,training,
D33_zA221,100.0,1.0,3.89e-05,0.000389,1e-05,1e-06,10.0,10.0,0.1,0.0,0.1,38.89,46900000.0,4.48,2200000.0,zA0221_D33__1E-6_10_0305.csv_1,zA0221_D33__1E-6_10_0305.csv_2,zA0221_D33__1E-6_10_0305_IV.csv_1,,4.0,4.0,0.0,training,
D33_zA221,100.0,1.0,4.17e-05,0.000417,3e-05,3e-06,10.0,10.0,0.1,0.0,0.1,13.89,49100000.0,-0.409,-200000.0,zA0221_D33__3E-6_10_0305_IV.csv_1,zA0221_D33__3E-6_10_0305_IV.csv_2,,,5.0,5.0,0.0,training,
